Age_of_Farmer,Annual_Income,Land_Size_Acres,Land_Location,Irrigation_Facility,Credit_Score,Existing_Loans,Requested_Loan_Amount,Loan_Purpose,Loan_Type,Land_Ownership,Loan_History,Approved_Loan_Amount,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha
65,213505.0,1.33,Far,rainfed,480,1,53200.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,6.91,107,15,275
30,384036.0,2.14,Far,borewell,720,1,85600.0,Borewell_Installation,Long_Term,Owned,Repeat,79351.2,7.98,256,47,357
25,804956.0,6.19,Near_City,drip,580,2,495200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,5.91,504,19,374
49,269957.0,1.23,Near_Village,canal,610,0,73800.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,7.97,688,12,396
43,886912.0,6.72,Far,rainfed,760,0,268800.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,8.33,655,49,205
31,531840.0,3.35,Near_Village,canal,530,2,201000.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,7.54,157,11,77
65,293621.0,1.78,Far,rainfed,330,3,71200.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,7.05,612,38,92
27,853526.0,6.54,Near_Village,borewell,660,2,392400.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,6.28,569,31,109
41,254131.0,1.55,Far,canal,360,3,62000.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,5.98,529,29,212
57,632104.0,4.2,Near_City,rainfed,730,1,336000.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.15,619,22,360
54,607130.0,4.47,Far,borewell,660,2,178800.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,5.72,691,10,87
54,132432.0,0.52,Far,canal,510,1,20800.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,8.48,207,49,270
48,836706.0,6.22,Far,borewell,750,2,248800.0,Irrigation_Setup,Short_Term,Owned,Repeat,230637.6,5.57,201,8,188
40,972863.0,7.09,Near_City,drip,850,0,567200.0,Borewell_Installation,Short_Term,Owned,Repeat,536004.0,7.81,662,6,331
58,910660.0,7.04,Near_Village,rainfed,660,2,422400.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,6.46,359,34,364
40,321634.0,2.19,Near_Village,rainfed,640,1,131400.0,Crop_Cultivation,Short_Term,Owned,First_Time,112347.0,6.24,692,31,63
46,226954.0,1.03,Near_City,drip,650,1,82400.0,Borewell_Installation,Long_Term,Owned,Repeat,74160.0,6.04,520,17,142
31,717122.0,5.44,Near_Village,drip,840,0,326400.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,7.51,691,49,313
40,340882.0,1.94,Far,rainfed,620,1,77600.0,Equipment_Purchase,Long_Term,Owned,First_Time,66348.0,8.42,278,10,387
60,225616.0,1.23,Far,borewell,560,1,49200.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,7.61,488,42,288
50,942689.0,7.27,Near_City,borewell,690,2,581600.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,7.55,446,19,52
37,385055.0,2.73,Near_City,borewell,480,2,218400.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,5.84,366,47,87
57,263183.0,1.1,Near_City,borewell,590,1,88000.0,Irrigation_Setup,Short_Term,Owned,First_Time,0.0,8.39,367,28,295
62,706839.0,4.74,Near_Village,rainfed,550,2,284400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,5.7,312,24,110
44,567345.0,3.93,Near_City,drip,680,0,314400.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,6.61,482,24,112
29,918401.0,7.09,Near_Village,rainfed,580,2,425400.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.44,130,12,270
41,304511.0,1.37,Near_City,rainfed,460,2,109600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,8.15,395,19,226
65,878464.0,6.9,Far,canal,730,0,276000.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,5.55,536,39,138
46,813462.0,6.28,Far,rainfed,570,3,251200.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,7.69,559,16,197
34,647698.0,4.59,Near_Village,rainfed,680,1,275400.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,7.24,209,11,159
38,747606.0,5.62,Far,canal,570,3,224800.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0,6.28,514,34,228
51,137875.0,0.69,Far,drip,650,1,27600.0,Equipment_Purchase,Short_Term,Owned,Repeat,24840.0,7.24,150,7,333
39,333025.0,2.0,Near_Village,canal,720,1,120000.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,111240.0,7.38,334,30,187
29,1056099.0,7.75,Near_Village,drip,580,2,465000.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,7.48,139,10,265
41,178186.0,0.79,Far,canal,410,2,31600.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,8.49,140,40,342
27,842739.0,5.82,Near_City,rainfed,480,3,465600.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,6.91,502,38,126
44,653153.0,4.3,Far,canal,720,2,172000.0,Borewell_Installation,Short_Term,Owned,Repeat,159444.0,7.89,225,17,297
36,722305.0,5.12,Near_Village,borewell,690,2,307200.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,8.05,319,22,223
53,806584.0,5.57,Far,rainfed,820,0,222800.0,Equipment_Purchase,Long_Term,Owned,First_Time,190494.0,8.24,314,35,248
37,307999.0,1.61,Near_City,drip,750,0,128800.0,Irrigation_Setup,Long_Term,Owned,Repeat,119397.6,6.13,283,15,107
34,716306.0,5.42,Near_City,drip,770,1,433600.0,Borewell_Installation,Long_Term,Owned,First_Time,370728.0,6.71,234,42,279
