Age_of_Farmer,Annual_Income,Land_Size_Acres,Land_Location,Soil_Quality,Irrigation_Facility,Credit_Score,Existing_Loans,Requested_Loan_Amount,Loan_Purpose,Loan_Type,Land_Ownership,Loan_History,Approved_Loan_Amount
65,213505.0,1.33,Far,7,rainfed,480,1,53200.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
30,384036.0,2.14,Far,9,borewell,720,1,85600.0,Borewell_Installation,Long_Term,Owned,Repeat,79351.2
25,804956.0,6.19,Near_City,10,drip,580,2,495200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0
49,269957.0,1.23,Near_Village,9,canal,610,0,73800.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0
43,886912.0,6.72,Far,7,rainfed,760,0,268800.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
31,531840.0,3.35,Near_Village,10,canal,530,2,201000.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0
65,293621.0,1.78,Far,6,rainfed,330,3,71200.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0
27,853526.0,6.54,Near_Village,7,borewell,660,2,392400.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0
41,254131.0,1.55,Far,9,canal,360,3,62000.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
57,632104.0,4.2,Near_City,5,rainfed,730,1,336000.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
54,607130.0,4.47,Far,5,borewell,660,2,178800.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0
54,132432.0,0.52,Far,10,canal,510,1,20800.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
48,836706.0,6.22,Far,9,borewell,750,2,248800.0,Irrigation_Setup,Short_Term,Owned,Repeat,230637.6
40,972863.0,7.09,Near_City,5,drip,850,0,567200.0,Borewell_Installation,Short_Term,Owned,Repeat,536004.0
58,910660.0,7.04,Near_Village,6,rainfed,660,2,422400.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0
40,321634.0,2.19,Near_Village,5,rainfed,640,1,131400.0,Crop_Cultivation,Short_Term,Owned,First_Time,112347.0
46,226954.0,1.03,Near_City,7,drip,650,1,82400.0,Borewell_Installation,Long_Term,Owned,Repeat,74160.0
31,717122.0,5.44,Near_Village,8,drip,840,0,326400.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0
40,340882.0,1.94,Far,8,rainfed,620,1,77600.0,Equipment_Purchase,Long_Term,Owned,First_Time,66348.0
60,225616.0,1.23,Far,9,borewell,560,1,49200.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0
50,942689.0,7.27,Near_City,8,borewell,690,2,581600.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0
37,385055.0,2.73,Near_City,9,borewell,480,2,218400.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
57,263183.0,1.1,Near_City,5,borewell,590,1,88000.0,Irrigation_Setup,Short_Term,Owned,First_Time,0.0
62,706839.0,4.74,Near_Village,7,rainfed,550,2,284400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0
44,567345.0,3.93,Near_City,5,drip,680,0,314400.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
29,918401.0,7.09,Near_Village,7,rainfed,580,2,425400.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
41,304511.0,1.37,Near_City,10,rainfed,460,2,109600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
