iter	RMSE
0	127134.4593
1	122003.2033
2	117122.4011
3	112732.7677
4	108773.4144
5	104545.0121
6	100679.3044
7	97029.81639
8	93590.73125
9	90622.06875
10	87531.62534
11	84637.90486
12	81954.33465
13	79382.33712
14	77036.82876
15	74856.24074
16	72883.11236
17	70998.12364
18	69278.16286
19	67599.70226
20	66032.36941
21	64558.62894
22	63214.64856
23	61981.26821
24	60830.57821
25	59829.68556
26	58853.45203
27	57938.98627
28	57088.11794
29	56298.68126
30	55621.13649
31	55016.69695
32	54422.63987
33	53850.7439
34	53325.2995
35	52838.36089
36	52397.7125
37	51963.47713
38	51601.28228
39	51241.90858
40	50924.14577
41	50670.13248
42	50368.11275
43	50118.9123
44	49885.62442
45	49671.51067
46	49486.76499
47	49281.047
48	49123.89551
49	48958.99865
50	48790.5395
51	48657.54745
52	48510.29217
53	48380.79445
54	48288.26979
55	48174.00994
56	48053.8898
57	47952.49981
58	47882.708
59	47804.23338
60	47715.93948
61	47642.25337
62	47554.752
63	47467.98283
64	47377.51653
65	47332.57152
66	47294.10558
67	47230.94793
68	47168.40717
69	47134.38366
70	47090.99389
71	47042.26549
72	46992.12338
73	46959.38043
74	46947.07567
75	46890.37964
76	46837.76627
77	46792.54315
78	46734.23407
79	46690.88142
80	46676.928
81	46621.66638
82	46617.44875
83	46593.93664
84	46593.1383
85	46584.48641
86	46561.66957
87	46534.30474
88	46508.99371
89	46507.72575
90	46474.75081
91	46468.167
92	46431.85078
93	46420.57077
94	46404.81024
95	46384.5726
96	46376.85247
97	46370.18807
98	46320.526
99	46299.83657
100	46266.62568
101	46228.19671
102	46225.68583
103	46163.98176
104	46162.86775
105	46140.44591
106	46115.98571
107	46061.16919
108	46054.3765
109	46027.11051
110	45984.77135
111	45984.61879
112	45929.81667
113	45882.04403
114	45865.12654
115	45848.70546
116	45839.77055
117	45831.01782
118	45793.78154
119	45781.29131
120	45779.63805
121	45739.36952
122	45704.41319
123	45672.74903
124	45643.58504
125	45633.67371
126	45611.27147
127	45584.29133
128	45562.32347
129	45533.56063
130	45496.9424
131	45470.53124
132	45466.7225
133	45425.01966
134	45413.82256
135	45410.72079
136	45376.16777
137	45325.30105
138	45305.69377
