iter	Passed	Remaining
0	184	73666
1	221	44093
2	264	35053
3	301	29814
4	322	25452
5	355	23372
6	385	21627
7	421	20631
8	454	19747
9	481	18761
10	514	18186
11	557	18038
12	597	17788
13	639	17633
14	680	17461
15	716	17190
16	754	16989
17	783	16635
18	811	16264
19	845	16069
20	879	15874
21	912	15671
22	947	15530
23	981	15377
24	1018	15272
25	1050	15112
26	1089	15055
27	1131	15029
28	1172	15005
29	1215	14993
30	1254	14932
31	1294	14888
32	1324	14729
33	1363	14678
34	1406	14672
35	1448	14642
36	1486	14583
37	1523	14517
38	1564	14479
39	1604	14439
40	1643	14386
41	1690	14411
42	1734	14401
43	1772	14340
44	1815	14324
45	1851	14250
46	1886	14166
47	1919	14079
48	1953	13990
49	1986	13907
50	2020	13826
51	2053	13741
52	2089	13678
53	2123	13608
54	2156	13526
55	2191	13464
56	2224	13387
57	2256	13303
58	2287	13221
59	2322	13158
60	2357	13102
61	2392	13041
62	2427	12985
63	2462	12926
64	2493	12852
65	2530	12804
66	2563	12739
67	2596	12676
68	2631	12622
69	2664	12561
70	2700	12514
71	2735	12463
72	2771	12416
73	2806	12363
74	2828	12255
75	2859	12192
76	2892	12133
77	2932	12106
78	2965	12051
79	2998	11994
80	3036	11959
81	3073	11920
82	3088	11796
83	3129	11774
84	3153	11685
85	3197	11673
86	3241	11661
87	3284	11646
88	3324	11616
89	3337	11496
90	3377	11467
91	3417	11440
92	3458	11416
93	3501	11398
94	3542	11373
95	3583	11348
96	3622	11315
97	3660	11280
98	3700	11251
99	3745	11236
100	3785	11207
101	3827	11183
102	3841	11078
103	3884	11056
104	3917	11006
105	3973	11021
106	4016	10998
107	4058	10973
108	4105	10959
109	4150	10942
110	4190	10909
111	4216	10841
112	4265	10833
113	4312	10819
114	4362	10810
115	4408	10792
116	4458	10783
117	4557	10891
118	4596	10852
119	4636	10819
120	4651	10725
121	4693	10695
122	4750	10697
123	4809	10705
124	4860	10692
125	4905	10667
126	4950	10641
127	4998	10622
128	5040	10588
129	5079	10550
130	5117	10508
131	5158	10473
132	5176	10392
133	5218	10358
134	5255	10316
135	5291	10272
136	5330	10233
137	5367	10190
138	5404	10148
139	5439	10101
140	5457	10025
141	5483	9963
142	5517	9915
143	5554	9874
144	5588	9828
145	5626	9788
146	5665	9751
147	5702	9709
148	5738	9666
149	5772	9620
150	5805	9573
151	5846	9538
152	5889	9507
153	5926	9466
154	5966	9430
155	6026	9426
156	6080	9411
157	6125	9382
158	6168	9350
159	6206	9310
160	6244	9269
161	6277	9222
